"","EVENT_DATE","YEAR","EVENT_TYPE","PERPRETATORS","VICTIMS","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","FATALITIES"
"708","2000-10-24",2000,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Mungiki Militia","Kenya","Nairobi","Dagoretti South","Kawangware","Kawangware",-1.282788,36.75166,"BBC Monitoring",0
"709","2000-10-24",2000,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Mungiki Militia","Kenya","Nairobi","Embakasi Central","Kayole Central","Kayole",-1.277487,36.912872,"BBC Monitoring",0
"710","2000-10-24",2000,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Mungiki Militia","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring",0
"712","2000-10-24",2000,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Mungiki Militia","Kenya","Kajiado","Kajiado South","Kimana","Ongata Rongai",-2.75,37.3833,"BBC Monitoring",0
"713","2000-10-24",2000,"Riots/Protests","Mungiki Militia","Rioters (Kenya)","Kenya","Nairobi","Embakasi Central","Kayole Central","Kayole",-1.277487,36.912872,"BBC Monitoring",1
"714","2000-10-27",2000,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring",0
"715","2000-10-27",2000,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"All Africa",0
"716","2000-10-28",2000,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Pokot Ethnic Militia (Kenya)","Kenya","Turkana","Turkana Central","Kerio Delta","Kerio",2.98333,36.11667,"BBC Monitoring",1
"717","2000-10-28",2000,"Violence against civilians","Pokot Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Turkana","Turkana Central","Kerio Delta","Kerio",2.98333,36.11667,"BBC Monitoring",4
"718","2000-10-30",2000,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"All Africa",5
"719","2000-10-31",2000,"Violence against civilians","Unidentified Ethnic Militia (Ethiopia)","Civilians (Kenya)","Kenya","Wajir","Wajir East","Township","Ogondi",1.748841,40.05899,"BBC Monitoring",1
"720","2000-11-03",2000,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"All Africa",0
"721","2000-11-04",2000,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Machakos","Mavoko","Athi River","Athi River",-1.45,36.98333,"BBC Monitoring",0
"722","2000-11-06",2000,"Violence against civilians","Vigilante Militia (Kenya)","Civilians (Kenya)","Kenya","Kisumu","Kisumu Central","Market Milimani","Kisumu",-0.1,34.75,"Associated Press",0
"723","2000-11-07",2000,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"All Africa",0
"724","2000-11-10",2000,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Agence France Presse",0
"725","2000-11-11",2000,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Laikipia","Laikipia West","Rumuruti Township","Ndururumo",0.38333,36.43333,"BBC Monitoring",0
"726","2000-11-14",2000,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Kisumu","Kisumu West","North West Kisumu","Maseno University",-0.01667,34.6,"BBC Monitoring",0
"727","2000-11-14",2000,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Unidentified Armed Group (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring",1
"728","2000-11-21",2000,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Westlands","Mountain View","Kangemi",-1.269461,36.743557,"All Africa",0
"729","2000-11-21",2000,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Nairobi","Westlands","Mountain View","Kangemi",-1.269461,36.743557,"All Africa",0
"730","2000-11-22",2000,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Garissa","Garissa Township","Iftin","Garissa",-0.453568,39.646096,"BBC Monitoring",2
"731","2000-11-25",2000,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Muranga","Kiharu","Wangu","Kahuti",-0.7,36.96667,"All Africa",0
"732","2000-11-30",2000,"Battle-No change of territory","Muslim Militia (Kenya)","Christian Militia (Kenya)","Kenya","Nairobi","Kamukunji","Eastleigh North","Eastleigh",-1.271689,36.849689,"BBC Monitoring",0
"733","2000-11-30",2000,"Battle-No change of territory","Muslim Militia (Kenya)","Christian Militia (Kenya)","Kenya","Wajir","Wajir South","Ibrahim Ure","Majengo",1.68333,40.11667,"BBC Monitoring",0
"734","2000-11-30",2000,"Battle-No change of territory","Muslim Militia (Kenya)","Christian Militia (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring",0
"735","2000-11-30",2000,"Violence against civilians","Unidentified Ethnic Militia (Ethiopia)","Civilians (Kenya)","Kenya","Wajir","Wajir North","Gurar","Gurar",3.36667,39.56667,"Xinhua",12
"736","2000-12-01",2000,"Battle-No change of territory","Muslim Militia (Kenya)","Christian Militia (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring",0
"737","2000-12-01",2000,"Violence against civilians","Muslim Militia (Kenya)","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters",0
"738","2000-12-03",2000,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Elgeyo-Marakwet","Marakwet West","Moiben/Kuserwo","Chebara",0.88333,35.5,"BBC Monitoring",0
"739","2000-12-05",2000,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Unidentified Ethnic Militia (Ethiopia)","Kenya","Mandera","Mandera West","Dandu","Dandu",3.45,39.86667,"BBC Monitoring",6
"740","2000-12-14",2000,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Isiolo","Isiolo South","Kinna","Tukomo",0.08333,38.33333,"Xinhua",3
"741","2000-12-14",2000,"Violence against civilians","Ajuran Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Wajir","Wajir East","Township","Wajir",1.75,40.06,"BBC Monitoring",2
"742","2000-12-23",2000,"Violence against civilians","Vigilante Militia (Kenya)","Civilians (Kenya)","Kenya","Migori","Rongo","Central Kamagambo","Rongo",-0.76667,34.6,"BBC Monitoring",0
"743","2000-12-27",2000,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Garissa","Garissa Township","Iftin","Garissa",-0.453568,39.646096,"All Africa",0
"744","2000-12-27",2000,"Riots/Protests","Police Forces of Kenya (1978-2002)","Rioters (Kenya)","Kenya","Garissa","Garissa Township","Iftin","Garissa",-0.453568,39.646096,"All Africa",0
"745","2000-12-27",2000,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Baringo","Tiaty","Kolowa","Kolowa",1.18333,35.73333,"BBC Monitoring",1
"746","2000-12-28",2000,"Strategic development","Unidentified Ethnic Militia (Kenya)","Unitentified","Kenya","West Pokot","Sigor","Lomut","Cheptulel",1.4,35.56667,"BBC Monitoring",0
"747","2000-12-30",2000,"Battle-No change of territory","Kauma-Koyugi Ethnic Militia (Kenya)","Kakdhimu Ethnic Militia (Kenya)","Kenya","Kisumu","Kisumu Central","Market Milimani","Kisumu",-0.1,34.75,"allAfrica.com",1
"748","2001-01-03",2001,"Violence against civilians","Unidentified Armed Group (Somalia)","Civilians (Somalia)","Kenya","Lamu","Lamu West","Shella","Lamu",-2.27169,40.90201,"BBC",3
"749","2001-01-03",2001,"Violence against civilians","Unidentified Armed Group (Somalia)","Civilians (Somalia)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC",11
"750","2001-01-04",2001,"Battle-No change of territory","Kakdhimu Ethnic Militia (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Kisumu","Kisumu Central","Market Milimani","Kisumu",-0.1,34.75,"allAfrica.com",0
"751","2001-01-04",2001,"Battle-No change of territory","Kauma-Koyugi Ethnic Militia (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Kisumu","Kisumu Central","Market Milimani","Kisumu",-0.1,34.75,"allAfrica.com",0
"752","2001-01-11",2001,"Battle-No change of territory","Unidentified Armed Group (Ethiopia)","Police Forces of Kenya (1978-2002)","Kenya","Marsabit","Moyale","Uran","Ole Tipe Manyatta",3.55,38.48333,"BBC Monitoring, 1/12/2001",8
"753","2001-01-11",2001,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Unidentified Ethnic Militia (Ethiopia)","Kenya","Marsabit","Moyale","Uran","Ole Tipe Manyatta",3.55,38.48333,"BBC Monitoring, 1/15/2001",8
"754","2001-01-11",2001,"Violence against civilians","Unidentified Armed Group (Ethiopia)","Civilians (Kenya)","Kenya","Marsabit","Moyale","Uran","Ole Tipe Manyatta",3.55,38.48333,"BBC Monitoring, 1/12/2001",2
"755","2001-01-11",2001,"Violence against civilians","Unidentified Armed Group (Ethiopia)","Civilians (Kenya)","Kenya","Marsabit","Moyale","Uran","Uran",3.55,38.48,"BBC Monitoring, 1/15/2001",2
